[s],CH1[V]
-1.4728E-02,2.355E-02
-1.4726E-02,2.355E-02
-1.4724E-02,2.355E-02
-1.4722E-02,2.395E-02
-1.4720E-02,2.355E-02
-1.4718E-02,2.355E-02
-1.4716E-02,2.355E-02
-1.4714E-02,2.355E-02
-1.4712E-02,2.355E-02
-1.4710E-02,2.355E-02
-1.4708E-02,2.355E-02
-1.4706E-02,2.355E-02
-1.4704E-02,2.355E-02
-1.4702E-02,2.355E-02
-1.4700E-02,2.355E-02
-1.4698E-02,2.355E-02
-1.4696E-02,2.355E-02
-1.4694E-02,2.395E-02
-1.4692E-02,2.355E-02
-1.4690E-02,2.355E-02
-1.4688E-02,2.355E-02
-1.4686E-02,2.395E-02
-1.4684E-02,2.355E-02
-1.4682E-02,2.355E-02
-1.4680E-02,2.355E-02
-1.4678E-02,2.395E-02
-1.4676E-02,2.355E-02
-1.4674E-02,2.315E-02
-1.4672E-02,2.355E-02
-1.4670E-02,2.395E-02
-1.4668E-02,2.355E-02
-1.4666E-02,2.355E-02
-1.4664E-02,2.355E-02
-1.4662E-02,2.395E-02
-1.4660E-02,2.355E-02
-1.4658E-02,2.355E-02
-1.4656E-02,2.355E-02
-1.4654E-02,2.395E-02
-1.4652E-02,2.355E-02
-1.4650E-02,2.355E-02
-1.4648E-02,2.395E-02
-1.4646E-02,2.355E-02
-1.4644E-02,2.355E-02
-1.4642E-02,2.355E-02
-1.4640E-02,2.355E-02
-1.4638E-02,2.355E-02
-1.4636E-02,2.355E-02
-1.4634E-02,2.355E-02
-1.4632E-02,2.355E-02
-1.4630E-02,2.355E-02
-1.4628E-02,2.355E-02
-1.4626E-02,2.355E-02
-1.4624E-02,2.355E-02
-1.4622E-02,2.355E-02
-1.4620E-02,2.355E-02
-1.4618E-02,2.355E-02
-1.4616E-02,2.355E-02
-1.4614E-02,2.355E-02
-1.4612E-02,2.395E-02
-1.4610E-02,2.395E-02
-1.4608E-02,2.395E-02
-1.4606E-02,2.355E-02
-1.4604E-02,2.355E-02
-1.4602E-02,2.395E-02
-1.4600E-02,2.355E-02
-1.4598E-02,2.355E-02
-1.4596E-02,2.355E-02
-1.4594E-02,2.355E-02
-1.4592E-02,2.355E-02
-1.4590E-02,2.355E-02
-1.4588E-02,2.395E-02
-1.4586E-02,2.395E-02
-1.4584E-02,2.355E-02
-1.4582E-02,2.395E-02
-1.4580E-02,2.315E-02
-1.4578E-02,2.355E-02
-1.4576E-02,2.355E-02
-1.4574E-02,2.355E-02
-1.4572E-02,2.355E-02
-1.4570E-02,2.395E-02
-1.4568E-02,2.355E-02
-1.4566E-02,2.355E-02
-1.4564E-02,2.355E-02
-1.4562E-02,2.395E-02
-1.4560E-02,2.355E-02
-1.4558E-02,2.355E-02
